file_in_zip,doc_id,ext,num_pages,docket_id,date_guess,doc_type_guess,title_snippet
/content/drive/MyDrive/FDA Research/2011/FDA-2011-P-0022-0011_Reconsideration_Petition_Interim_Response.pdf,89050923cd25,pdf,1,FDA-2011-P-0022,2011,petition,"DEPARTMENT OF HEALTH & HUMAN SERVICES Public Health Service January 23, 2015 Dr. Morris Waxler President Waxler Regulatory Consultancy LLC 1920 Arlington Place Madison, WI 53726-4002 Food and Drug Administration 10903 New Hampshire A venue Silver Spring, MD 20993 Re: Reconsideration Petition- Docket Number FDA-2011-P-0022/PRC Dear Dr. Waxler: This is an interim response to your Reconsideration Petition dated July 22, 2014, filed by the Food and Drug Administration (FDA) on September 4, 2014. In…"
/content/drive/MyDrive/FDA Research/2011/FDA-2011-P-0022-0013_Reconsideration_Denial_letter_from_the_FDA_to_Waxl.pdf,baaa46838716,pdf,4,FDA-2011-P-0022,2011,petition,"{ U.S. FOOD & DRUG ~'""""""""""'""',I \.:!/- ADMINISTRATION Morris Waxler, PhD President Waxler Regulatory Consultancy LLC 1920 Arlington Place Madison, WI 53726-4002 OCT 2 6 2016 Re: Petition for Reconsideration [Docket Number FDA-2011-P-0022/PRC] Dear Dr. Waxler: This letter responds to your petition for reconsideration received on July 31, 2014 (Reconsideration Petition). The Reconsideration Petition requests that the Food and Drug Administration (FDA or the Agency) reconsider its June 23, 2014 re…"
/content/drive/MyDrive/FDA Research/2011/FDA-2011-P-0025-0001_Olsson_Frank_Weeda_Terman_Bode_Matz_PC___Citizen_P.pdf,64a9baf21309,pdf,2,FDA-2011-P-0025,2011,other,"OLSSON FRANK WEEDA TERMAN BODE MATZ PC faTORNEYS AT IAW SUITE 400 1400 SIXTEENTH STREET. NW WASHINGTON. D. C 20036 (202) 789-1212 www. ofwlaw. corn Arthur Y. Tsien - Principal Direct (202) 518-6318 / Fax (202) 234-3537 atsien@ofwlaw.com January 7, 2011 BRUCE A. SILVERGLADE JOLYDA 0. SWAIM JONATHAN M. WENRIEB NANCY W. MATHEWSON COUNSEL ROGER R. SZEMRA1 ANSON M. KELLER. CASPER E. ULDRIKS* OF COUNSEL KENNETH D. ACKERMAN MARK L. ITZKOFF ELLIOT BELILOS SENIOR POLICY ADVISOR JOHN R BLOCK CHA W. STENH…"
/content/drive/MyDrive/FDA Research/2011/FDA-2011-P-0025-0002_Acknowledgement_Letter_to_Olsson_Frank_Weeda_Terma.pdf,37d3f0d3e1b2,pdf,1,FDA-2011-P-0025,2011,petition,"ri011--,2e/ P1)'DEPARTMENT OF HEALTH & HUMAN SERVICES Public Health Service Food and Drug Administration Rockville MD 20857 January 7, 2011 FILE COPY Arthur Y. Tsien, Attorney Olsson Frank Weeda Terman Bode Matz PC 1400 Sixteenth Street, NW Suite 400 Washington, D. C. 20036 Dear Mr. Tsien: Your petition to the Food and Drug Administration to make the determination that Grifulvin V (griseofulvin microcrystalline) Tablets 250 mg was not voluntarily withdrawn or withheld from sale for safety or ef…"
/content/drive/MyDrive/FDA Research/2011/FDA-2011-P-0025-0003_FDA_CDER_Interim_Response_to_Olsson_Frank_Weeda_Te.pdf,76ce8df8bbd7,pdf,1,FDA-2011-P-0025,2011,petition,""""", StRVJCJ:S·VJ f"""""" l~ DEPARTMENT OF HEALTH & HUMAN SERVICES "",~E.-;, ,~, Food and Drug Administration Rockville MD 20857 ""Ul'd:W ZOII JUL -SU~ 31eC2011 Arthur Y. Tsien, Principal Olsson Frank Weed a Terman Bode Matz PC 1400 Sixteenth Street, N.W., Suite 400 Washington, DC 20036 Re: Docket No. FDA-20II-P-0025 Dear Mr. Tsien: 1am writing to inform you that the Food and Drug Administration (FDA) has not yet resolved the issues raised in your citizen petition received on January 7, 20 11. Your p…"
/content/drive/MyDrive/FDA Research/2011/FDA-2011-P-0025-0004_Determinations_That_Drugs_Were_Not_Withdrawn_from_.pdf,aa685ca76f92,pdf,2,FDA-2011-P-0025,2011,comment,"25720 Federal Register / Vol. 77, No. 84 / Tuesday, May 1, 2012 / Notices In compliance with the requirements of Section 3506(c)(2)(A) of the Paperwork Reduction Act of 1995, the Administration for Children and Families is soliciting public comment on the specific aspects of the information collection described above. Copies of the proposed collection of information can be obtained and comments may be forwarded by writing to the Administration for Children and Families, Office of Planning, Rese…"
/content/drive/MyDrive/FDA Research/2011/FDA-2011-P-0025-0005_FDA_2011_P_0025_let.pdf,30c2ca69e681,pdf,3,FDA-2011-P-0025,2011,petition,"f DEPARTMENT OF HEALTH & HUMAN SERVICES Food and Drug Administration Rockville MD 20857 MAY 1 2012 Arthur Y. Tsien, Principal Olsson Frank Weeda Terman Bode Matz PC 1400 Sixteenth Street, NW, Suite 400 Washington, DC 20036 Re: Docket No. FDA-201 l-P-0025 Dear Mr. Tsien: This letter responds to your citizen petition dated January 7, 2011, requesting that the Food and Drug Administration (FDA) determine whether GRIFULVIN V (griseofulvin microcrystalline) tablets, 250 milligrams (mg), was withdraw…"
/content/drive/MyDrive/FDA Research/2011/FDA-2011-P-0031-0001_Samson_Medical_Technologies__L_L_C____Citizen_Peti.pdf,089a6d01f449,pdf,3,FDA-2011-P-0031,2011,petition,SAMSON MEDICAL TECHNOLOGIC& LL.C. Citizen's Petition ANDA Suitability Piperacillin and Tazobactam for Injection 337.5 and 405 gram Pharmacy Bulk Packages Cfti SANSOI Peati OriZAN' DA Suftability PiperadlIM and Tazobactam for Injectio 3 37.3 and 403 gram Pharmacy Bulk Packages
/content/drive/MyDrive/FDA Research/2011/FDA-2011-P-0031-0002_Acknowledgement_Letter_to_Samson_Medical_Technolog.pdf,39df656c0e23,pdf,1,FDA-2011-P-0031,2011,petition,"DEPARTMENT OF HEALTH & HUMAN SERVICES Public Health Service Food and Drug Administration Rockville MD 20857 January 12, 2011 Judith U. Arnoff, RPH, MBA Samson Medical Technologies, L.L.C. 2050 Springdale Road, Suite 400 Cherry Hill, NJ 08003 Dear Ms. Arnoff: Your petition to the Food and Drug Administration requesting to permit the filing of an Abbreviated New Drug Application for a Piperacillin and Tazobactam for Injection, pharmacy bulk package, was received by this office on 01/012/2011. It …"
/content/drive/MyDrive/FDA Research/2011/FDA-2011-P-0031-0003_Amendment_from_Samson_Medical_Technologies_LLC.pdf,2799088ae4f1,pdf,3,FDA-2011-P-0031,2011,petition,"SAMSON® MEDICAL TECHNOLOGIES, L.L.C. 1014 MAR -5 A CI: February 27, 2014 Division of Dockets Management Food and Drug Administration Room 1061 5630 Fishers Lane Rockville, MD 20852 Subject: Amendment to Suitability Petition (Docket #: FDA-2011-P-0031-0001/CP) Piperacillin and Tazobactam for Injection, Pharmacy Bulk Package SmartPak® Dear Sir or Madam: Reference is made to the email communications received from Mr. Johnny Young on December 19, 2013 February 5, 2014 and February 13, 2014 (attache…"
/content/drive/MyDrive/FDA Research/2011/FDA-2011-P-0031-0004_Petition_Approval_Response.pdf,154b40e32ecf,pdf,2,FDA-2011-P-0031,2011,petition,"DEPARTMENT OF HEALTH & HUMAN SERVICES Food and Drug Administration Silver Spring, MD 20993 February 23, 2015 Samson Medical Technologies, L.L.C. Attention: Judith U. Arnoff, RPh, MBA 2050 Springdale Road, Suite 400 Cherry Hill, NJ 08003 Docket No. FDA -2011 -P-0031 Dear Ms. Arnoff: This is in response to your petition filed on January 12, 2011, with the U.S. Food and Drug Administration (FDA or Agency) and your amendment dated February 27, 2014, requesting permission to file an Abbreviated New …"
/content/drive/MyDrive/FDA Research/2011/FDA-2011-P-0032-0001_Anika_Therapeutics__Inc____Petition_for_Reconsider.pdf,b4ad0099d779,pdf,2,FDA-2011-P-0032,2011,petition,"IRINA KULINETS VICE PRESIDENT OF REGULATORY AND CLINICAL AFFAIRS20\\ J~N \ \ A \I: 25 TEL: 781.457.9000 DIRECT: 781.457.9221 January 10,2011 Dockets Management Branch (HF A-305) Room 1061 Food and Drug Administration 5630 Fishers Lane Rockville, Maryland, 20852 RE: Petition for Reconsideration of the denial of approval of a Premarket Approval (PMA) Application for Anika Therapeutics' Monovisc™ Injectable Intra-articular Device (p090031) Dear SirlMadam: Under the 21CFR 10.33 Anika Therapeutics, …"
/content/drive/MyDrive/FDA Research/2011/FDA-2011-P-0032-0002_Acknowlegdement_Letter_to_Anika_Therapeuticals__In.pdf,9cbc10e4729b,pdf,1,FDA-2011-P-0032,2011,petition,"DEPARTMENT OF HEALTH & HUMAN SERVICES Public Health Service Food and Drug Administration Rockville MD 20857 January 11, 2011 Irina Kulinets Vice Presidents of Regulatory and Clinical Affairs Anika Therapeutics, Inc. 32 Wiggins Ave Bedford MA 01730 Dear Ms. Kulinets: Your petition to the Food and Drug Administration requesting to reconsideration of the denial of approval of a Premarket Approval (PMA) Application for Anika Therapeutics, was received by this office on 01/11/2011. It was assigned d…"
/content/drive/MyDrive/FDA Research/2011/FDA-2011-P-0032-0003_Acknowledgement_Letter_to_Anika_Therapeutics__Inc_.pdf,86a52b40588b,pdf,1,FDA-2011-P-0032,2011,petition,"4tr DEPARTMENT OF HEALTH & HUMAN SERVICES Public Health Service avd-, Food and Drug Administration Rockville MD 20857 January 25, 2011 FILE COPY Correction Irina Kulinets Vice Presidents of Regulatory and Clinical Affairs Anika Therapeutics, Inc. 32 Wiggins Ave Bedford MA 01730 Dear Ms. Kulinets: Your petition to the Food and Drug Administration requesting to reconsideration of the denial of approval of a Premarket Approval (PMA) Application for Anika Therapeutics, was received by this office o…"
/content/drive/MyDrive/FDA Research/2011/FDA-2011-P-0032-0004_Anika_Therapeutics__Inc___Anika____Withdrawal.pdf,4f1c44309361,pdf,2,FDA-2011-P-0032,2011,petition,"fiif#AN I KA 2011 MAR 28 A 314 March 24, 2011 Dockets Management Branch (B1FA-305) Room 1061 Food and Drug Administration 5630 Fishers Lane Maryland, 20852 RE: Withdrawal of Petition for Reconsideration (FDA-2011-0032-0001/PRC) for Premarket Approval Application for Anika Therapeutics' MonoviscTM Injectable Intra-articular Device (P090031) Attention: Ms. Gloria Ortega Dear Ms. Ortega: With this letter Anika Therapeutics, Inc. (Anika) is withdrawing this Petition for Reconsideration for its Prem…"
/content/drive/MyDrive/FDA Research/2011/FDA-2011-P-0045-0001_Purdue_Pharma_L_P___Purdue____Citizen_petition.pdf,f4996ecb8b99,pdf,23,FDA-2011-P-0045,2011,petition,"PURDUE Purdue Pharma L.P One Stamford Forum Stamford, CT 06901-3431 vvivw.Lu,sdlAaharma.com January 14, 241 11 0 6 11 AI 1 L .) Dockets Management Branch Food and Drug Administration Room 1061 5630 Fishers Lane Rockville, MD 20852 CITIZEN PETITION Dear Sir/Madam: The undersigned, on behalf of Purdue Pharma L.P. (""Purdue""), submits this Citizen Petition pursuant to 21 C.F.R. §§ 10.30, 314.50(i), 314.52, 314.54, and Section 505(b) of the Federal Food, Drug, and Cosmetic Act (""FFDCA""), 21 U.S.C. §…"
/content/drive/MyDrive/FDA Research/2011/FDA-2011-P-0045-0005_Acknowledgement_Letter_to_Purdue_Pharma_L_P____Pur.pdf,1e0bebd1b8a4,pdf,1,FDA-2011-P-0045,2011,petition,"DEPARTMENT OF HEALTH & HUMAN SERVICES Public Health Service Food and Drug Administration Rockville MD 20857 FILE COpy January 14, 2011 Philip C. Strassburger Vice President Purdue Pharma L.P. One Stamford Forum Stamford, CT 06901-3431 Dear Mr. Strassburger: Your petition to the Food and Drug Administration asking to refuse to approve King's Remoxy NDA unless the conditions specified in the petition are satisfied, was received by this office on 01/14/2011. It was assigned docket number FDA-2011-…"
/content/drive/MyDrive/FDA Research/2011/FDA-2011-P-0045-0006_FDA_CDER_to_Perdue_Pharma_L_P____Petition_Denial.pdf,7c77fde76857,pdf,4,FDA-2011-P-0045,2011,petition,"(""~ DEPARTMENT OF HEALTH 8> HUMAN SERVICES <+<:~'r Food and Drug Administration Rockville MD 20857 Philip C. Strassburger V.P., Intellectual Property Counsel 2011 JUL 1St, II: 51 Purdue Pharma L.P. JUL 13 2011 One Stamford Forum . Stamford, CT 06901-3431 Re: Docket No. 2011-P-0045 Dear Mr. Strassburger: This letter responds to your citizen petition submitted on behalf of Purdue Pharma L.P. (Purdue) dated January 14,2011 (Petition). Your Petition requests that the Food and Drug Administration (F…"
/content/drive/MyDrive/FDA Research/2011/FDA-2011-P-0047-0001_InvaGen_Pharmaceuticals__Inc____Citizen_Petition_.pdf,121497f095f0,pdf,8,FDA-2011-P-0047,2011,petition,"InvaGen Pharmaceuticals, I nt.InvaGen Pharmaceuticals, Inc. 7 Oser Ave Hauppauge, New York 11788 Te1:631-231-3233 Fax:631-231-4248Dr.Sudhakar Rao Vidiyala President Division of Dockets Management Food and Drug Administration Department of Health and Human Services 5630 Fishers Lane, Room 1061 Rockville, MD 20852 January 14, 2011 4:91. 6■11. 0.J 416. ooloo■ Cg '61; A Citizen petitian Re: Citizen Petition to InvaGen's Meclizine Hydrochloride Chewable Tablets, 25 mg ANDA # 200791 Dear Sir/Madam, I…"
/content/drive/MyDrive/FDA Research/2011/FDA-2011-P-0047-0006_Acknowledgement_Letter_to_InvaGen_Inc_.pdf,8d0f395be7d4,pdf,1,FDA-2011-P-0047,2011,petition,"DEPARTMENT OF HEALTH & HUMAN SERVICES Public Health Service Food and Drug Administration Rockville MD 20857 January 18, 2011 Sudhakar Rao Vidiyala, PhD President InvaGen Pharmaceuticals, Inc. 7 Oser Ave. Hauppauge, New York 11788 Dear Dr. Vidiyala: Your petition to the Food and Drug Administration requesting to make a determination that Pfizer's Antivert® chewable tablets 25 mg was not discontinued for safety and efficacy reason, and to re list InvaGen's Meclizine Hygrochloride chewable tablets…"
/content/drive/MyDrive/FDA Research/2011/FDA-2011-P-0047-0007_InvaGen_Pharmaceuticals__Inc____Amendment.pdf,3e70a4fb5a4e,pdf,7,FDA-2011-P-0047,2011,petition,"InvaGen Pharmaceutic als. Inc.Dr.Sudhakar Rao Vidiyala InvaGen Pharmaceuticals, Inc. President 7 Oser Ave Hauppauge, New York 11788 Te1:631-231-3233 Fax:631-231-4248 4 2 3 7 11 FEB 28 A 9 :09 Division of Dockets Management Food and Drug Administration Department of Health and Human Services 5630 Fishers Lane, Room 1061 Rockville, MD 20852 February 24, 2011 Amendment to Citizen petition Re: Amendment to Citizen Petition (Docket # FDA-2011-P-0047-0001/CP) for InvaGen's Meclizine Hydrochloride Che…"
/content/drive/MyDrive/FDA Research/2011/FDA-2011-P-0047-0012_FDA_CDER_Interim_Response_to_InvaGen_Pharmaceutica.pdf,0f982c45f20c,pdf,1,FDA-2011-P-0047,2011,petition,"(""~ DEPARTMENT OF HEALTII &-HUMAN SERVICES ,.,..:!­ Food and Drug Administration Rockville M 0 20857 JL'~ . 5 2011 2011 JUL20 A fO:43 . Sudhakar Rao Vidiyala, PhD President InvaGen Pharmaceuticals, Inc. 7 Oser Ave. Hauppauge, New York 11788 Re: Docket No. FDA-2011-P-0047 Dear Dr. Vidiyala: I am writing to inform you that the Food and Drug Administration (FDA or Agency) has not yet resolved the issues raised in your citizen petition received on January 18, 2011. Your petition requests that the A…"
/content/drive/MyDrive/FDA Research/2011/FDA-2011-P-0047-0013_Response_Letter_from_FDA_CDER.pdf,7e2499a8dd5f,pdf,7,FDA-2011-P-0047,2011,response/decision,
/content/drive/MyDrive/FDA Research/2011/FDA-2011-P-0047-0014_Determination_That_ANTIVERT_Chewable_Tablets__25_M.pdf,d6edb71a19a1,pdf,2,FDA-2011-P-0047,2011,other,"13669 Federal Register / Vol. 84, No. 66 / Friday, April 5, 2019 / Notices 1Section 505–1 of the FD&C Act applies to applications for prescription drugs submitted or approved under subsections 505(b) (i.e., new drug applications) or (j) (i.e., abbreviated new drug applications) (21 U.S.C. 355(b) or (j)) of the FD&C Act and to applications submitted or licensed under section 351 (i.e., biologics license applications) of the Public Health Service Act (42 U.S.C. 262). In this document, unless othe…"
/content/drive/MyDrive/FDA Research/2011/FDA-2011-P-0052-0001_Lachman_Consulant_Services__Inc____Citizen_Petitio.pdf,0d8c4736923a,pdf,3,FDA-2011-P-0052,2011,petition,"LACHMAN CONSULTANT SERVICES, INC. CONSULTANTS TO THE PHARMACEUTICAL AND ALLIED INDUSTRIES 1600 STEWART AVENUE, WESTBURY, NY 11590 (516) 222-6222 • FAX (5116)16811687 11 R4 19 A 9 :21 11. January 18, 2011 OVERNIGHT COURIER 1/18/11 Division of Dockets Management Food and Drug Administration (HFA-305) Department of Health and Human Services 5630 Fishers Lane, Room 1061 Rockville, MD 20852 Citizen Petition Dear Sir or Madam: The undersigned submits this petition, in quadruplicate, pursuant to Secti…"
/content/drive/MyDrive/FDA Research/2011/FDA-2011-P-0052-0005_Acknowledgement_Letter_to_Lachman_Consultant_Servi.pdf,89d150133eea,pdf,1,FDA-2011-P-0052,2011,petition,"DEPARTMENT OF HEALTH & HUMAN SERVICES Public Health Service Food and Drug Administration Rockville MD 20857 January 19, 2011 Robert W. Pollock FILE COpyLachman Consultant Services, Inc. 1600 Stewart Avenue Westbury, NY 11590 Dear Mr. Pollock: Your petition to the Food and Drug Administration requesting to declare that the drug product, for Pemetrexed for Injection, 1000 mg is suitable for consideration in an abbreviated new drug application (ANDA), was received by this office on 01/19/2011. It …"
/content/drive/MyDrive/FDA Research/2011/FDA-2011-P-0052-0006_FDA_CDER_to_Lachman_Consulant_Services__Inc____Pet.pdf,24450a805e9d,pdf,2,FDA-2011-P-0052,2011,petition,"(/"""")_ DEPARTMENT OF HEALTH & HUMAN SERVICES --.::::z~ Lachman Consultant Services, Inc. Attention: Robert W. Pollock 1600 Stewart A venue Westbury, NY 11590 Dear Mr. Pollock: 9 1 3 1 12 M~R 29 A 9 :12 MAR 2 7 :012 Food and Drug Administration Rockville MD 20857 Docket No. FDA-2011-P-0052 This is in response to your petition filed on January 19, 2011 requesting permission to file an Abbreviated New Drug Application (ANDA) for the following drug product: Pemetrexed Disodium for Injection, 1000 m…"
/content/drive/MyDrive/FDA Research/2011/FDA-2011-P-0055-0001_Joseph_M__Carik_and_Amber_Britton__C__Allen_Black_.pdf,bcb7481a0c45,pdf,12,FDA-2011-P-0055,2011,petition,"CITIZEN PETITION TO ALLOCATE AGALSIDASE BETAi t• r • YME in) 14 L4 MANUFACTURED BY GENZYME CORPORATION UNE6 SCBV"" MOUNT SINAI SCHOOL OF MEDICINE IN ACCORDANCE WITH THE BAYH-DOLE ACT January 13, 2010 Petitioners: Joseph M. Carik and Amber Britton Represented By C. Allen Black, Ph.D., J.D. 1579 Montgomery Rd. Allison Park, PA, 15101 412-908-3268 vb/L-aof(- 9--Oocc CP Before the Department of Health and Human Services Food and Drug Administration Washington, DC In Re: PETITION TO ALLOCATE AGALSIDA…"
/content/drive/MyDrive/FDA Research/2011/FDA-2011-P-0055-0010_Acknowledgement_Letter_to_C__Allen_Black__Ph_D___J.pdf,480c96872db0,pdf,1,FDA-2011-P-0055,2011,petition,"DEPARTMENT OF HEALTH & HUMAN SERVICES Public Health Service Food and Drug Administration Rockville MD 20857 FILE COPY January 19, 2011 C. Allen Black, Ph.D., J.D. 1579 Montgomery Road Allison Park, PA 15101 Dear Mr. Black: Your petition to the Food and Drug Administration submitted on behalf of Joseph M Carik and Amber Britton, requesting to allocate full doses of agalsidase beta (Fabrazymee) to U.S. citizens under its consent decree with Genzyme Corporation, was received by this office on 01/1…"
/content/drive/MyDrive/FDA Research/2011/FDA-2011-P-0055-0011_Exhibit_A___Healthcare_Professional_Communication_.pdf,514c9b629218,pdf,2,FDA-2011-P-0055,2011,other,"GENZYME EUROPE BV GOOIMEER 10 1411 DD NMRDEN NETHERLANDS Tel: +31-35-699-1200 Fax: +31-35-694-3214 17-02-2010 Healthcare Professional Communication -further delay in the supply of Fabrazyme@ (agalsidase beta) Dear Healthcare Professional, In December 2009, Genzyme announced that the production of Fabrazyme had been temporarily suspended and that as a result there was a product shortage. In previous letters, healthcare professionals were recommended to reduce the dose in adult patients to meet a…"
/content/drive/MyDrive/FDA Research/2011/FDA-2011-P-0055-0012_FDA_CDER_Interim_Response_to_C__Allen_Black__Ph_D_.pdf,23c713c9cfbc,pdf,1,FDA-2011-P-0055,2011,petition,"DEPARTMENT OF HEALTH &. HUMAN SERVICES Food and Drug Administration Rockville MD 20857 JUL 15 2011 2011 JUL 20 A \0: I~ 3 C. Allen Black, Ph.D., J.D. 1579 Montgomery Rd. Allison Park, PA 15101 Re: Docket No. FDA -2011-P-0055 Dear Dr. Black: I am writing to inform you that the Food and Drug Administration (FDA) has not yet resolved the issues raised in your citizen petition received on January 19, 2011, and submitted on behalf of Joseph M. Carik and Amber Britton. Your petition requests that the…"
/content/drive/MyDrive/FDA Research/2011/FDA-2011-P-0055-0013_Citizen_Petition_Denial_Response_from_FDA_CDER_to_.pdf,018715e65039,pdf,5,FDA-2011-P-0055,2011,petition,
/content/drive/MyDrive/FDA Research/2011/FDA-2011-P-0059-0001_Citizen_Petition_from_Hospira_Inc_.pdf,bc89b4178623,pdf,4,FDA-2011-P-0059,2011,petition,"~ HospJra January 25, 2011 2011 JAN 2b A 10: 3'lDivision of Dockets Management Food and Drug Administration Department of Health and Human Services 5630 Fishers Lane, Room 1061 Rockville, MD 20852 Citizen Petition The undersigned submits this Citizen Petition, in quadruplicate, pursuant to Section 5050G)(2)(C) ofthe Federal Food, Drug and Cosmetic Act, and in accordance with 21 CFR 1O.20(a), 10.30 and 314.93 to request that FDA amend the Approved Drug Products with Therapeutic Equivalence Evalu…"
/content/drive/MyDrive/FDA Research/2011/FDA-2011-P-0059-0002_Acknowledgment_Letter_from_FDA_DDM_to_Hospira_Inc_.pdf,c1097a01e2bc,pdf,1,FDA-2011-P-0059,2011,petition,"(~ DEPARTMENT OF HEALTH & HUMAN SERVICES Public Health Service \.,~f- Food and Drug Administration Rockville MD 20857 FILE COpy January 26, 2011 Mark J. Kopulos Hopira, Inc. 275 North Field Dr. Dept 389, Building H2 Lake Forest, IL 60045 Dear Mr. Kopulos: Your petition to the Food and Drug Administration requesting to designate Sandoz ANDA 065204 as a Reference Listed Drug for purposes of submitting an ANDA for a generic version of this product, was received by this office on 01/26/2011. It was…"
