File Name,Date of Petition,Date Comments,Identity of Submitting Entity,Representation Details,Cited Statutes or Regulations,FDA Action Commented On,Requested Action,Justification for Request,completeness_status,completeness_rate,missing_or_wrong_data
FDA-2011-P-0059-0001_Citizen_Petition_from_Hospira_Inc_.pdf,2011-01-25,Not Mentioned,"Hospira, Inc.","Self-filed by Hospira, Inc. through Global Regulatory Affairs department","[""21 CFR 10.20(a)"", ""21 CFR 10.30"", ""21 CFR 25.31."", ""21 CFR 314."", ""21 CFR 314.93""]",Designation of Reference Listed Drug (RLD) in Orange Book,Amend the Approved Drug Products with Therapeutic Equivalence Evaluations ('Orange Book') to designate Sandoz ANDA 065204 as an additional RLD for Ceftriaxone for Injection 19 and 2g in ADD-Vantage Vial,The product is bioequivalent and should be designated as a RLD to allow generic competition via the intravenous (IV) route,Complete,94.1%,None
FDA-2011-P-0059-0004_Citizen_Petition_Approval_Response_Letter_from_FDA.pdf,Not Mentioned,Not Mentioned,"Hospira, Inc.","Self-filed by Hospira, Inc. through regulatory affairs department","[""21 U.S.C. § 355"", ""Section 505 of the FD&C Act""]",Designation of reference listed drugs (RLDs) for ceftriaxone sodium injection and cefotaxime sodium injection,"Designate ANDA 065204 as an additional RLD for ceftriaxone sodium injection, 1 g and 2 g; Designate ANDA 062659 as an additional RLD for cefotaxime sodium injection, 1 g and 2 g",To allow generic competition against products using the ADD-Vantage container/closure system approved for IV administration only,Complete,97.0%,None
FDA-2011-P-0064-0001_Barbara_L__Maw__P_C____Citizen_Petition_.pdf,2011-01-20,Not Mentioned,John and Jane Does 1-500,"Filed by Barbara L. Maw, P.C., representing John and Jane Does 1-500","[""21 CFR 10.30"", ""21 U.S.C. § 355(f)""]",Recall of Propoxyphene-containing products (Darvon/Darvocet),Vacate and/or revoke the recall and removal of all Propoxyphene-containing products,"The FDA's request to voluntarily recall these products was not based on substantial evidence, was unlawful, arbitrary, and capricious.",Complete,92.8%,None
FDA-2011-P-0064-0042_FDA_CDER_to_Barbara_L__Maw__P_C____Petition_Denial.pdf,2011-01-26,Not Mentioned,"Barbara L. Maw, P.C.","Self-filed by Barbara L. Maw, P.C.","[""21 CFR 314.50(d)(5)(vi)(a)"", ""21 CFR 314.50(d)(5)(viii)"", ""21 CFR 3l2.42(b))"", ""21 CFR 3l4.126(e)"", ""21 U.S.C. § 301"", ""21 U.S.C. § 30l(d)"", ""21 U.S.C. § 355(a))"", ""21 U.S.C. § 355(d))."", ""Section 505(0) of the FD&C Act"", ""Section 505(b)(l) of the FD&C Act""]",Request for voluntary recall and withdrawal of propoxyphene-containing products from the market,Vacate and/or revoke FDA's request for voluntary recall or permit resumed marketing with specific labeling requirements,Clinical data does not support the conclusion that PPX Products are unsafe at therapeutic doses; patients should be allowed to make informed decisions about their treatment options,Complete,94.6%,None
FDA-2011-P-0078-0004_FDA_CVM_to_Ceva_Animal_Health_LLC___Petition_Denia.pdf,2011-02-02,Not Mentioned,"Ceva Animal Health, LLC","Self-filed by Ceva Animal Health, LLC through Dr. Dominique Thibaud","[""21 CFR 25.30(h)""]",Suitability petition for ANADA submission,Approval of suitability petition to submit an abbreviated new animal drug application (ANADA),Not provided in the denial letter,Complete,89.1%,None
FDA-2011-P-0081-0001_Armenpharm__Ltd____Citizen_Petition.pdf,2011-02-07,Not Mentioned,"Armenpharm, Ltd.","Self-filed by Armenpharm, Ltd. through regulatory affairs department","[""Section 505(j)(2)(C) of the FD&C Act"", ""21 CFR 10."", ""21 CFR 10.30(b)"", ""21 CFR 25."", ""21 CFR 25.31""]","Chloramphenicol Capsules USP, 250 mg relisting in the Orange Book","Relist ANDA 060851 for Chloramphenicol Capsules USP, 250 mg and declare that it was withdrawn from sale for reasons other than safety or effectiveness",Chloramphenicol is effective against antibiotic-resistant microorganisms and the drug product was not withdrawn due to safety or effectiveness issues.,Complete,96.0%,None
FDA-2011-P-0087-0001_Navinta__LLC___Citizen_Petition.pdf,2011-02-09,Not Mentioned,Navinta LLC,Self-filed by Navinta LLC through regulatory affairs department,"[""21 CFR 25."", ""21 CFR 25.30"", ""21 U.S.C. § 355""]",Approval of Iron Sucrose Injection drug product applications,"Refrain from approving any pending or new applications [submitted under 505(j) or 505(b)(2)] of Iron Sucrose Injection drug product, therapeutically equivalent to Venofer® and do not exhibit pharmaceutical equivalence to Venofer® with respect to the Sodium Content",Significant amount of sodium present in Venofer® which is not controlled by current USP monograph specifications,Complete,95.3%,None
FDA-2011-P-0087-0004_FDA_CDER_to_Navinta_LLC___Petition_Denial.pdf,2011-02-09,Not Mentioned,Navinta LLC,Self-filed by Navinta LLC through Regulatory Affairs department,"[""21 U.S.C. § 355(j)"", ""21 U.S.C. § 355(b)(2)"", ""21 CFR 314.105"", ""21 CFR 314.110"", ""21 CFR 314.125"", ""21 CFR 314.200""]",Approval of ANDA or NDA for iron sucrose injection drug product,Refrain from approving any pending or new applications submitted under section 505(j) or 505(b)(2) unless the sodium content is within a proposed range of between 5.1 mg/ml and 6.6 mg/ml,To ensure pharmaceutical equivalence of composition with Venofer,Complete,97.9%,None
FDA-2011-P-0096-0006_FDA_CDER_to_Sovereign_Pharmaceuticals_LLC_Petition.pdf,2011-02-16,Not Mentioned,Larken Laboratories,Self-filed by Larken Laboratories through Leonard Lawrence,"[""Section 505G)(2)(C) of the FD&C Act"", ""Sections 505G)(2)(A) and (B) of the Act""]",Petition for permission to file an ANDA,"Approval to submit an ANDA for Acetaminophen, Caffeine, and Dihydrocodeine Bitartrate Tablets with a different strength",The change in strength does not pose questions of safety or effectiveness,Complete,95.7%,None
FDA-2011-P-0115-0001_Cypress_Pharmaceutical__Inc____Citizen_Petition.pdf,2011-02-24,Not Mentioned,"Cypress Pharmaceutical, Inc.","Self-filed by Cypress Pharmaceutical, Inc. through Janet K. DeLeon, R.A.C., Director of Product Development","[""21 CFR 10.20"", ""21 CFR 10.30"", ""21 CFR 314.93"", ""Section 505(j)(2)(c) of the FD&C Act""]",Suitability for ANDA submission,"Declare Calcium Acetate Oral Solution, 667 mg/5 mL, suitable for submission as an ANDA",Bioequivalence data supports approval and meets patient needs,Complete,93.6%,None
FDA-2011-P-0120-0010_FDA_CDER_to_Pronova_BioPharma_Norge_AS___Petition_.pdf,2011-02-28,Not Mentioned,Pronova BioPharma Norge AS,Self-filed by Pronova BioPharma Norge AS,"[""Not Mentioned""]",Availability of scientific information on fish oil products to FDA reviewers,Make the information discussed in the petition and its appendices available to appropriate scientific reviewers within the Agency for fish oil products,To ensure the safety of fish oils and related products for human consumption by providing new scientific information,Complete,95.1%,None
FDA-2011-P-0128-0004_FDA_CDER_to_ISTA_Pharmaceuticals___Petition_Denial.pdf,Not Mentioned,Not Mentioned,ISTA Pharmaceuticals,Self-filed by ISTA Pharmaceuticals; no separate representation mentioned,"[""21 U.S.C. § 355(b)"", ""21 U.S.C. § 355(j)(7)"", ""21 CFR 314.94(a)(9)(iv)"", ""21 CFR 314.127(a)(8)(ii)(C)""]",Generic drug approval process for bromfenac ophthalmic solutions,"Require ANDA applicants to provide specific safety and efficacy data, and prohibit approval of generic versions duplicating discontinued Xibrom labeling",To ensure patient safety and prevent market confusion due to differences in dosing regimens,Complete,89.4%,None
FDA-2011-P-0150-0001_SureTek_Medical___Citizen_Petition.pdf,2011-03-07,Not Mentioned,SureTek Medical,Self-filed by SureTek Medical,"[""21 CFR 888.1100"", ""Medical Device User Fees and Modernization Act (MDUFMA) of 2002""]",Enforcement of premarket notification requirements for reprocessed single-use electrosurgical devices,Issue an immediate determination of not substantially equivalent to any manufacturer that failed to provide a supplemental validation submission by the published deadline and delete these 510(k)'s from the FDA database.,"Several manufacturers have continued to market their reprocessed electrosurgical devices after the June 29, 2006 deadline without submitting required validation data, leading to device failures reported in MAUDE.",Complete,94.3%,None
FDA-2011-P-0151-0001_Brian_C__Mandingo___Citizen_Petition_.pdf,2011-03-04,Not Mentioned,Brian C. Mandigo (individual petitioner),Self-filed by Brian C. Mandigo,"[""21 CFR ."", ""21 CFR 25."", ""21 U.S.C. § 360g""]",Use of the E-Meter by the Church of Scientology and its affiliated entities,Seek an injunction against the use by the Church of Scientology and its affiliated entities of the 'E-Meter',"The E-Meter is being used in contexts that are not bona fide religious settings, violating court orders.",Complete,77.1%,Identity of Submitting Entity
FDA-2011-P-0173-0001_Hospira__Inc____Citizen_Petition.pdf,2011-03-17,Not Mentioned,"Hospira, Inc.","Self-filed by Hospira, Inc. through regulatory affairs department","[""21 CFR 10.20(a)"", ""21 CFR 10.30(b)"", ""21 CFR 25.31"", ""21 CFR 314.93""]",Designation of Reference Listed Drug (RLD) in Orange Book,Designate Sanofi-Aventis ANDA 062659 as an RLD for purposes of submitting an Abbreviated New Drug Application (ANDA),The product should be designated as a RLD to allow generic competition and ensure compatibility and administration via the intravenous route.,Complete,92.7%,None
FDA-2011-P-0182-0001_Watson_Laboratories__Inc____Citizen_Petition.pdf,2011-03-21,Not Mentioned,"Watson Laboratories, Inc.","Self-filed by Watson Laboratories, Inc. through regulatory affairs department","[""21 CFR 314.161"", ""21 CFR 314.162(a)"", ""21 CFR 10.25"", ""21 CFR 10.30""]",Discontinuation of Opana ER (oxymorphone hydrochloride) Extended-Release Tablets,"Determine whether Endo Pharmaceutical, Inc.'s decision to discontinue marketing of its Opana ER product was for reasons due to safety or effectiveness and if ANDAs are eligible for approval",To clarify the status of Opana ER in the Orange Book and ensure proper regulatory compliance,Complete,91.6%,None
FDA-2011-P-0186-0001_Nexus_Pharmaceuticals__Inc____Citizen_Petition.pdf,2011-03-17,Not Mentioned,IEINEXUS Pharmaceuticals Inc.,Self-filed by IEINEXUS Pharmaceuticals Inc.,"[""21 CFR 10.20"", ""21 CFR 10.30"", ""21 CFR 314.93"", ""Section 505(j)(2)(c) of the FD&C Act""]",Suitability for submission as an ANDA,Declare that Levetiracetam Injection 1000 mg/Vial is suitable for submission as an ANDA,"The proposed product differs only in dosage strength from the marketed Keppra® IV product, and bioequivalence data supports approval.",Complete,95.5%,None
FDA-2011-P-0209-0001_K_L_Gates__LLP___Citizen_Petition.pdf,2011-03-25,Not Mentioned,Endo Pharmaceuticals,Filed by K&L Gates LLP on behalf of Endo Pharmaceuticals,"[""21 CFR 10.30"", ""21 CFR 314.161(a)(1)"", ""21 CFR 25.31""]",Discontinued strengths listing in the Orange Book,"Determination that Opana® ER Tablets, 7.5 mg and 15 mg were not discontinued for safety or effectiveness reasons",Endo Pharmaceuticals discontinued these strengths for commercial reasons to streamline operations,Complete,93.9%,None
FDA-2011-P-0213-0001_CSL_Behring___Citizen_Petition.pdf,2011-03-25,Not Mentioned,CSL Behring,Self-filed by CSL Behring through regulatory affairs department,"[""21 CFR 10.30"", ""21 U.S.C. § 360aa-dd."", ""Section 505 of the FD&C Act""]",Orphan drug designation and exclusivity for Wilate®,"Revoke orphan drug designation and marketing exclusivity given to OctaPharma USA, Inc. for its drug product, Wilate®, and refrain from making any orphan drug designations based on hypothetical claims of superiority.",The request for designation and the marketing application did not include sufficient evidence to demonstrate that Wilate is superior in safety to the same drug previously approved for the same orphan indication.,Complete,90.2%,None
FDA-2011-P-0213-0017_FDA_OC_to_CSL_Behring__Petition_Part_Approval_and_.pdf,2011-03-28,Not Mentioned,CSL Behring,Self-filed by CSL Behring,"[""21 CFR 316.20(a)"", ""21 CFR 316.20(b)(5)"", ""21 CFR 316.3(b)(3)"", ""21 CFR 316.3(b)(13)"", ""21 U.S.C. § 360aa-dd"", ""Section 526 of the FD&C Act"", ""Section 527 of the FD&C Act""]",Orphan drug designation and exclusivity for Wilate,Rescind orphan-drug designation and exclusivity from Wilate; refrain from making orphan-drug designations based on hypothetical improvements in safety without demonstrated head-to-head comparative clinical evidence,"Available data do not support a conclusion that Wilate provides significant therapeutic advantage over Humate-P, thus it should be considered the same drug and not eligible for exclusivity",PDF Read Error,0.0%,PDF text extraction failed
FDA-2011-P-0226-0001_Hyman__Phelps___McNamara__P_C____Citizen_Petition.pdf,2011-03-30,Not Mentioned,"Hyman, Phelps &amp; McNamara, P.C.","Filed by Hyman, Phelps &amp; McNamara, P.C. on behalf of a client","[""21 CFR 314.93"", ""21 CFR 314.94(a)(9)(iii)"", ""21 U.S.C. § 505(j)""]",Designation of Reference Listed Drug (RLD) in the Orange Book,Designate International Medication Systems' Phytonadione Injection as a second RLD for purposes of submitting an ANDA,Difference in formulation between IMS and Hospira drug products; sound basis for FDA to designate IMS's product as an additional RLD,Complete,92.6%,None
FDA-2011-P-0291-0001_Actavis_Inc____Citizen_Petition.pdf,2011-04-20,Not Mentioned,Actavis Inc.,Self-filed by Actavis Inc. through Regulatory and Medical Affairs department,"[""21 CFR 10.30"", ""21 CFR 314.161"", ""21 CFR 314.53(d)(5)""]",Determining whether a drug was voluntarily withdrawn for safety or efficacy reasons,"Determine that JENLOGA® (clonidine hydrochloride) Extended-Release Tablets, 0.1 mg and 0.2 mg were not voluntarily withdrawn for safety or efficacy reasons.",There is no evidence of commercial distribution of the drug products; FDA previously determined non-marketing equivalent to withdrawal.,Complete,94.6%,None
FDA-2011-P-0292-0001_Actavis_Inc____Citizen_Petition.pdf,2011-04-19,Not Mentioned,Actavis Inc.,Self-filed by Actavis Inc. through Regulatory and Medical Affairs department,"[""21 CFR 10.30"", ""21 CFR 314.161"", ""21 CFR 314.53(d)(5)""]",Determining whether a drug was voluntarily withdrawn for safety or efficacy reasons,"Determine that KAPVAY® (clonidine hydrochloride) Extended-Release Tablets, 0.2 mg were not voluntarily withdrawn for safety or efficacy reasons.",There is no evidence of commercial distribution and FDA has previously determined non-marketing equivalent to withdrawal.,Complete,95.2%,None
FDA-2011-P-0335-0001_Norbrook_Laboratories__Inc____Citizen_Petition.pdf,2011-05-03,Not Mentioned,Norbrook Laboratories Limited,"Self-filed by Norbrook, Inc. through regulatory affairs department","[""21 CFR 25.24(a)(8)"", ""Section 512(n)(3) of the Federal Food, Drug and Cosmetic Act""]",ANADA suitability petition process,Permission to file an Abbreviated New Animal Drug Application (ANADA) for a generic new animal drug marbofloxacin in chewable tablet form,"The proposed generic product will have the same therapeutic effect, dosage, and administration method as the pioneer product but differs only in formulation from compressed tablets to chewable tablets.",Complete,96.2%,None
FDA-2011-P-0337-0001_Precision_Nuclear__LLC___Citizen_Petition.pdf,2011-05-05,Not Mentioned,"Precision Nuclear, LLC","Filed by Jon L. McReynolds, PharmD representing Precision Nuclear, LLC","[""21 CFR 25.31"", ""Section 505 (j) (2) (C) of the Federal Food, Drug, and Cosmetic Act""]",Proposed drug product suitability for ANDA consideration,Declare Ammonia [N-13] Injection suitable for consideration in an Abbreviated New Drug Application (ANDA),Production values and patient studies support the proposed variance of strength,Complete,97.5%,None
FDA-2011-P-0337-0005_FDA_CDER__to_Precision_Nuclear__LLC___Petition_App.pdf,2011-05-06,Not Mentioned,"Precision Nuclear, LLC","Self-filed by Precision Nuclear, LLC","[""Section 505(g)(2)(C) of the FD&C Act""]",Petition for permission to file an ANDA with a different strength than listed drug product,"Approval to submit an ANDA for Ammonia N 13 Injection, 3.75-260 mCi/mL at EOS",Change in strength does not pose questions of safety or effectiveness and can be expected to have the same therapeutic effect as the listed reference drug product,Complete,95.3%,None
FDA-2011-P-0339-0001_Leydig__Voit___Mayer__LTD___Citizen_Petition.pdf,2011-05-05,Not Mentioned,Cumberland Pharmaceuticals Inc.,"Filed by Leydig, Voit & Mayer, Ltd. on behalf of Cumberland Pharmaceuticals Inc.","[""21 CFR 10."", ""21 CFR 314.93"", ""21 CFR 314.161(a)(1)"", ""21 CFR 314.162"", ""Section 505(j)(2)(c) of the FD&C Act""]",Discontinued formulation determination for Acetadote® (acetylcysteine) Injection,"Determine that the discontinued formulation of Cumberland's Acetadote® was not discontinued for safety and efficacy reasons, allowing ANDAs referencing this formulation to be approved.",No documentation exists indicating the original formulation was withdrawn due to safety or efficacy issues.,Complete,96.0%,None
FDA-2011-P-0339-0005_FDA_CDER_to_Leydig_Voit_and__Mayer__LTD__Petition_.pdf,2011-05-06,Not Mentioned,Unnamed client (likely a pharmaceutical company),"Filed by Leydig, Voit & Mayer, LTD on behalf of an unnamed client","[""21 CFR 314.94(a)(9)(ii))"", ""21 CFR 314.99(b)"", ""21 CFR 314.127(a)(8)Gii)(B)"", ""Section 505(j) of the FD&C Act"", ""Section 505(j)(2)(A)(iv) of the FD&C Act"", ""Section 505(j)(4) of the FD&C Act"", ""Section 505(j)(4)(H) of the FD&C Act""]",Approval process for ANDAs referencing Acetadote (acetylcysteine) Injection with EDTA,Approve ANDAs for acetylcysteine injection containing EDTA as a component of the formulation,The original EDTA-containing Acetadote formulation meets statutory safety standards and should be approved under an ANDA,PDF Read Error,0.0%,PDF text extraction failed
FDA-2011-P-0347-0005_Medicis_Pharmaceutical_Corporation__Petition_for_R.pdf,2013-03-07,Not Mentioned,Medicis Pharmaceutical Corporation,Self-filed by Medicis Pharmaceutical Corporation through Vice President Legal & Business Affairs & Intellectual Property Counsel,"[""21 CFR 10.33"", ""21 CFR 10.35"", ""21 U.S.C. § 355G)(2)(C)"", ""21 U.S.C. § 355c""]",Approval of Lachman Consultant Services suitability petition,"Reconsider and reverse the approval of the Lachman Petition, stay the effective date of the decision until reconsideration is completed",The Commissioner's decision did not address Medicis' comments; public health interest will benefit from a thorough review,Complete,95.1%,None
FDA-2011-P-0347-0007_Petition_Denial_Letter_from_FDA_CDER_to_VPNA.pdf,Not Mentioned,"March 7, 2013 (Reconsideration Petition received)",Medicis Pharmaceutical Corporation,Self-filed by Medicis Pharmaceutical Corporation through regulatory affairs department,"[""21 CFR 10.33"", ""21 CFR 10.35"", ""Section 505(j)(2)(C) of the FD&C Act""]",Approval of suitability petition for ANDA filing,Reconsider and reverse approval of original petition; stay effective date of approval until reconsideration is completed,"Original decision did not adequately consider opposition comments, change in dosing regimen would require significant labeling changes and trigger PREA",Complete,84.6%,None
FDA-2011-P-0355-0001_MELA_Sciences_Inc_Citizen_Petition.pdf,2011-05-09,Not Mentioned,"MELA Sciences, Inc.","Self-filed by MELA Sciences, Inc. through Joseph V. Gulfo, M.D., President & CEO","[""21 CFR 20."", ""21 CFR 25."", ""21 CFR 25.34."", ""21 U.S.C. § 360e(b)(6)"", ""FD&C Act § 520(g)(7)""]",Review of MelaFind PMA,Enforce the binding Protocol Agreement and ensure fair review of the MelaFind PMA,To uphold the Binding Protocol Agreement and ensure that the FDA reviews the MelaFind PMA fairly and in accordance with laws and regulations,Complete,95.6%,None
FDA-2011-P-0356-0027_Citizen_Petition_Final_Response_from_FDA_CTP_to_Ce.pdf,2011-05-11,Not Mentioned,"Center for Tobacco Regulation, Litigation and Advocacy, Maryland Department of Health and Mental Hygiene, Maryland Association of County Health Officers, Maryland Delegate Samuel Rosenberg, Maryland Resource Center for Quitting Use and Initiation of Tobacco, American Heart Association Mid-Atlantic Affiliate, University of Maryland-College Park Colleges Against Cancer, Maryland Group Against Smoking Pollution, Baltimore County Tobacco-Free Community Coalition, Lee Bone, Adam Milam, Soula Lambropoulos, Marlene Spruiel, Michael Dark",Filed by the entities listed above; no law firm representation mentioned,"[""5 U.S.C. § 551"", ""21 CFR 10.30(f)"", ""21 CFR 10.40""]","Initiation of rulemaking to deem certain tobacco products subject to chapter IX of the Federal Food, Drug, and Cosmetic Act",Initiate a rulemaking proceeding to assert jurisdiction over cigars and subject them to sales and distribution regulations similar to those for cigarettes and smokeless tobacco,Not explicitly detailed in provided document,Complete,85.6%,None
FDA-2011-P-0368-0001_Academic_Pharmaceuticals___Citizen_Petition.pdf,2011-05-12,Not Mentioned,Academic Pharmaceuticals,"Self-filed by Academic Pharmaceuticals through Jo C. Somberg, M.D.","[""Section 505(j)(2)(C) of the FD&C Act"", ""21 CFR 10."", ""21 CFR 10.20"", ""21 CFR 10.30"", ""21 CFR 314."", ""21 CFR 314.122""]",Generic drug approval process,Allow a generic version of Sterile Bretylium Tosylate 50 mg/mL Injection suitable for submission in an ANDA,The proposed product is identical to the reference listed drug (RLD) and addresses a public health need due to raw material shortages.,Complete,89.2%,None
FDA-2011-P-0397-0001_NewMarket_Pharmaceuticals__LLC____Citizen_Petition.pdf,2011-05-20,Not Mentioned,NewMarket Pharmaceuticals LLC,"Self-filed by NewMarket Pharmaceuticals LLC through David W. Rock, PhD, Vice President, Research and Development","[""21 CFR 25.33""]",Suitability petition for filing an ANADA,Permit the filing of an Abbreviated New Animal Drug Application (ANADA) for a rapidly disintegrating tablet that is a generic oral clenbuterol presentation differing in dosage form and concentration from the reference product Ventipulmin® Syrup,"The proposed formulation improves ease of administration, increases likelihood of proper dosing without restraint, and ensures full dose delivery. The change in strength accommodates the new form while maintaining equivalent per kg basis dosing.",Complete,94.0%,None
FDA-2011-P-0433-0005_Final_Citizen_Petition_Response__FDA_2011_P_0433__.pdf,2011-05-31,Not Mentioned,"Lehigh Valley Technologies, Inc. and Glenmark Generics, Inc. USA (jointly, Petitioners)","Filed by Foley & Lardner LLP on behalf of Lehigh Valley Technologies, Inc. and Glenmark Generics, Inc. USA","[""21 CFR 314.50"", ""21 CFR 314.94(a)(7)"", ""Section 505G)(2)(A)(iv) of the FD&C Act""]",Approval process for ANDAs and NDAs for single entity oxycodone HCl products,Refrain from approving any pending ANDA or NDA unless impurity limits are met under accelerated stability conditions for 6 months,To ensure public health by limiting potentially genotoxic impurities in oxycodone HCl products,Complete,98.1%,None
FDA-2011-P-0437-0001_Cancer_Action_NY___Citizen_Petition.pdf,2011-05-01,Not Mentioned,Cancer Action NY,"Self-filed by Donald L. Hassig, Director of Cancer Action NY","[""Not Mentioned""]",Publication and dissemination of a POPs health hazard advisory,Publish and disseminate a Persistent Organic Pollutants (POPs) health hazard advisory,"To raise awareness about the public health threat posed by POPs contamination in animal fats, thereby motivating consumer decisions to minimize exposure",Complete,93.8%,None
