File Name,Date of Response,Date Comments,Responding FDA Center,Response to Petition,Cited Statutes or Regulations,Justification for Response,completeness_status,completeness_rate,missing_or_wrong_data
FDA-2011-P-0081-0012_Notice_of_Approval_Suspension_for_ANDA_060851.pdf,2012-07-13,Not Mentioned,CDER,denied,"[""21 CFR 10.30"", ""21 CFR 314.161(d)"", ""21 CFR 314.153(b)"", ""21 CFR 314.162"", ""21 U.S.C. § 355(j)(6)"", ""Section 505(j)(6) of the FD&C Act""]","The FDA determined that Chloromycetin (chloramphenicol) Capsules, 250 mg was withdrawn from sale for reasons of safety or effectiveness. As a result, approval of ANDA 060851 is suspended.",Mostly Complete,63.3%,Responding FDA Center; Response to Petition
FDA-2011-P-0081-0014_Response_to_CDER_for_Suspension_of_ANDA_Approval_f.pdf,Not Mentioned,"December 3, 2015; July 13, 2012",CDER,other: Request for Reconsideration and Additional Information Submission,"[""21 CFR §314.153(b)(2)"", ""Section 505(o)(4) of the Federal Food, Drug, and Cosmetic Act (FDCA)""]",Armenpharm requested reconsideration of ANDA approval suspension with additional information including proposed labeling changes and REMS elements to address safety concerns.,Mostly Complete,54.3%,Responding FDA Center; Response to Petition
FDA-2011-P-0081-0021_Armenpharm__Ltd___Suspension_of_Approval_of_an_Abb.pdf,2016-09-21,Not Mentioned,CDER,other: Suspension of Approval and Determination,"[""21 CFR 314.153(b))"", ""21 CFR 314.161(a))"", ""21 U.S.C. § 355(j)(7))"", ""Section 505(j)(7) of the FD&C Act""]",The FDA is suspending approval of an ANDA and determining that certain products were withdrawn from sale due to safety or effectiveness concerns.,Complete,81.3%,Response to Petition
FDA-2011-P-0081-0022_Withdrawal_from_Armenpharm_Ltd.pdf,Not Mentioned,"March 17, 2016",Not Mentioned,other: Withdrawal of hearing request,Not Mentioned,"Armenpharm Ltd. withdrew the oral hearing request submitted on December 17, 2015.",Complete,82.0%,Response to Petition
FDA-2011-P-0083-0003_Interim_Response_Letter_from_FDA_CDRH_to_Pharmacis.pdf,2011-07-28,Not Mentioned,CDRH,other: interim response,"[""21 CFR 10.30(e)(2))""]",Further review and analysis by agency officials is required before reaching a decision,Incomplete,46.9%,Date of Response; Responding FDA Center; Response to Petition
FDA-2011-P-0083-0004_Withdrawal_from_American_College_of_Apothecaries_R.pdf,2024-07-31,Not Mentioned,Not Mentioned,withdrawn,"[""21 CFR 10.30(g)""]","The petition was withdrawn without prejudice to resubmission at any time, as the Commissioner has not yet ruled on the Petition and no hearing is scheduled.",PDF Not Found,0.0%,All - PDF not found in ZIP
FDA-2011-P-0086-0011_Agency_Response_Letter_to_Risperidone_Staleness.pdf,2022-05-12,Not Mentioned,CDER,other: [voluntarily withdrawn without prejudice to resubmission],Not Mentioned,"Given the length of time since the petition was submitted and inactivity in the docket, CDER is uncertain if the views presented reflect current positions. The petition may be considered voluntarily withdrawn unless a written response is provided within 30 days.",PDF Read Error,0.0%,PDF text extraction failed
FDA-2011-P-0086-0012_Agency_Response_Letter_to_Risperidone.pdf,2022-06-15,Not Mentioned,CDER,other: voluntarily withdrawn without prejudice to resubmission,Not Mentioned,The petition was considered voluntarily withdrawn due to lack of response to the FDA's inquiry.,Complete,78.8%,Responding FDA Center
FDA-2011-P-0106-0007_Lachman_Consultant_Services__Inc_____Withdrawal_of.pdf,Not Mentioned,"March 16, 2011",Not Mentioned,withdrawn,"[""21 CFR 10.30"", ""Section 505U)(2)(C) of the FD&C Act""]",The petition is being withdrawn by the petitioner.,Complete,83.8%,None
FDA-2011-P-0115-0005_Cypress_Pharmaceutical__Inc____Withdrawal.pdf,2011-07-08,Not Mentioned,Not Mentioned,withdrawn,Not Mentioned,Petition withdrawn by the petitioner,Complete,93.8%,None
FDA-2011-P-0150-0003_Interim_Response_to_SureTek_Medical___Letter.pdf,2011-08-24,Not Mentioned,CDRH,other: interim response,"[""21 CFR 10.30(e)(2))""]",Further review and analysis by agency officials is required before reaching a decision on the petition.,PDF Read Error,0.0%,PDF text extraction failed
FDA-2011-P-0150-0004_Final_Response_from_FDA_CDRH_to_SureTek_Medical.pdf,2020-01-24,Not Mentioned,CDRH,denied,"[""21 CFR 10.30(e)"", ""21 CFR 10.30(k)"", ""21 CFR 10.45"", ""21 U.S.C. § 352(0)"", ""Section 502(0) of the FD&C Act"", ""Section 510(0) of the FD&C Act""]",The FDA is denying the request to initiate enforcement action under section 502(0) of the FD&C Act as such matters are within the discretion of the agency and not within the scope of citizen petition procedures.,PDF Read Error,0.0%,PDF text extraction failed
FDA-2011-P-0173-0003_Interim_Response_to_Hospira__Inc_.pdf,2011-09-14,Not Mentioned,CDER,other: interim response,"[""21 CFR 10.30(e)(2)""]",FDA has been unable to reach a decision on the petition due to the need to address other Agency priorities and numerous demands on the Agency's resources.,Incomplete,37.0%,Date of Response; Responding FDA Center; Response to Petition; Cited Statutes or Regulations
FDA-2011-P-0173-0004_FDA_CDER_to_Hospira__Inc____Petiton_Approval.pdf,2012-03-02,Not Mentioned,CDER,approved,"[""Section 505 of the FD&C Act"", ""21 U.S.C. § 355""]","The petitions are granted because it is in the public interest to allow submission of ANDAs that cite ANDA 065204 and ANDA 062659 as RLDs, given their unique container/closure systems and IV administration approval.",Complete,80.5%,Responding FDA Center
FDA-2011-P-0213-0014_Interim_Response_to_CSL_Behring___Letter.pdf,2011-09-23,Not Mentioned,OOD,other: interim response,"[""21 CFR 10.30(e)(2))""]",Significant issues requiring extensive review and analysis by Agency officials,Complete,83.3%,Response to Petition
FDA-2011-P-0226-0003_Interim_Response_to_Hyman__Phelps___McNamara__P_C_.pdf,2011-09-01,"March 30, 2011",CDER,other: interim response provided due to other priorities,"[""21 CFR 10.30(e)(2))""]",FDA has not yet resolved the issues raised in the petition due to the need to address other Agency priorities.,Mostly Complete,50.0%,Date of Response; Responding FDA Center; Response to Petition
FDA-2011-P-0226-0004_FDA_CDER_response_to_Hyman__Phelps___McNamara__P_C.pdf,2012-02-22,Not Mentioned,CDER,approved,"[""21 CFR 3"", ""21 CFR 314.3)"", ""21 U.S.C. § 505(j)""]","The petition is granted as it is in the public interest to allow the submission of ANDAs that cite IMS' Phytonadione Injection as the RLD, despite differences in excipients.",Complete,79.9%,Responding FDA Center
FDA-2011-P-0227-0003_FDA_CDER_Interim_Response_to_Intendis_Inc_Foley_an.pdf,2011-09-06,Not Mentioned,CDER,other: interim response provided in accordance with FDA regulations on citizen petitions,"[""21 CFR 10.30(e)(2))""]",The petition raises complex issues requiring extensive review and analysis by Agency officials.,Mostly Complete,50.0%,Date of Response; Responding FDA Center; Response to Petition
FDA-2011-P-0227-0004_FDA_CDER_Interim_Response_to_Intendis_Inc_Foley_an.pdf,2012-06-22,Not Mentioned,CDER,partially approved,"[""Section 505G)(8)(C) of the FD&C Act"", ""21 CFR 320.24."", ""21 CFR 10.35(e).8""]","The petition is partially approved, granting a response to Intendis' comments but denying requests to stay ANDA approvals and suspend draft guidance pending further review.",Complete,78.6%,Responding FDA Center
FDA-2011-P-0276-0005_Interim_Response_to_Environmental_Working_Group___.pdf,2011-09-06,"April 14, 2011 (petition received date)",CFSAN,other: currently evaluating petition,"[""21 CFR 1030(1::)(2)""]","Evaluation ongoing due to competing priorities, unable to reach a decision within the first 180 days",Mostly Complete,50.4%,Responding FDA Center; Response to Petition
FDA-2011-P-0291-0003_Interim_Response_to_Actavis_Inc____Letter.pdf,2011-10-17,Not Mentioned,CDER,other: interim response provided due to other priorities,"[""21 CFR 10.30(e)(2)""]",The FDA has not yet resolved the issues raised in the petition due to the need to address other Agency priorities.,Mostly Complete,64.8%,Responding FDA Center; Response to Petition
FDA-2011-P-0292-0003_Interim_Response_to_Actavis_Inc____Letter.pdf,2011-10-17,Not Mentioned,CDER,other: interim response provided due to other Agency priorities,"[""21 CFR 10.30(e)(2))""]",The FDA has not yet resolved the issues raised in the petition due to the need to address other Agency priorities.,Mostly Complete,64.8%,Responding FDA Center; Response to Petition
FDA-2011-P-0297-0005_Interim_Response_to_Public_Citizen_s_Health_Resear.pdf,2011-10-18,Not Mentioned,CDER,other: interim response provided,"[""21 CFR 10.30(e)(2))""]",The petition raises complex issues requiring extensive review and analysis by Agency officials.,Mostly Complete,64.8%,Responding FDA Center; Response to Petition
FDA-2011-P-0297-0006_FDA_CDER_Response_to_Public_Citizens_Health_Resear.pdf,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,PDF Read Error,0.0%,PDF text extraction failed
FDA-2011-P-0331-0006_Interim_response_to_Citzen_Health_Research_Group__.pdf,2011-10-20,Not Mentioned,CDRH,other: interim response,"[""21 CFR 1O.30(e)(2))""]",Further review and analysis by agency officials is required before reaching a decision on the petition,Mostly Complete,60.2%,Responding FDA Center; Response to Petition
FDA-2011-P-0331-0007_FDA_CDRH_final_response_to_Public_Citzen_Health_Re.pdf,2017-10-16,Not Mentioned,CDRH,partially approved,"[""81 FR 15173"", ""81 FR 91722""]",Granted the ban on powdered gloves but denied banning natural rubber latex gloves due to adequate risk mitigation through labeling and studies indicating reduced sensitization risks.,Complete,79.4%,Responding FDA Center
FDA-2011-P-0347-0004_FDA_CDER_Response_to_Lachman_Consultant_Services_I.pdf,2013-01-08,Not Mentioned,CDER,approved,"[""Section 505(j)(2)(C) of the Act"", ""Sections 505(j)(2)(A) and (B) of the Act""]","The change in strength does not pose questions of safety or effectiveness, and investigations are not necessary. The proposed drug product can be expected to have the same therapeutic effect as the listed reference drug product if it meets bioavailability requirements.",Complete,79.4%,Responding FDA Center
FDA-2011-P-0355-0020_Mela_Sciences_Inc__Withdrawal.pdf,2011-11-02,Not Mentioned,Not Mentioned,withdrawn,"[""21 CFR § 1O.30(g)""]","MELA Sciences, Inc. withdraws its petition without prejudice",Complete,100.0%,None
FDA-2011-P-0355-0021_FDA_CDRH_to_Mela_Science_Inc__Response_Letter.pdf,2011-11-03,Not Mentioned,CDRH,withdrawn,"[""21 CFR 10.30(g)""]",The petition was withdrawn by the petitioner in accordance with regulatory procedures.,Complete,75.3%,Responding FDA Center
FDA-2011-P-0356-0023_FDA_CTP_Interim_Response_to_the_Center_for_Tobacco.pdf,2011-10-25,Not Mentioned,CTP,other: interim response provided in accordance with FDA regulations on citizen petitions (21 CFR 10.30(e)(2)),"[""21 CFR 10.30(e)(2)""]","The issues raised require extensive review and analysis by Agency officials, and FDA is planning future rulemaking actions under the Family Smoking Prevention and Tobacco Control Act.",PDF Read Error,0.0%,PDF text extraction failed
FDA-2011-P-0368-0007_Academic_Pharmaceuticals__Inc___API____Withdrawal.pdf,Not Mentioned,05/12/2011,Not Mentioned,withdrawn,Not Mentioned,Petition withdrawn by the petitioner,Complete,93.8%,None
FDA-2011-P-0381-0003_achman_Consultant_Services__Inc____Withdrawal.pdf,Not Mentioned,2011-09-01,Not Mentioned,withdrawn,"[""Section 505(j)(2)(C) of the FD&C Act"", ""21 CFR 10""]",The petition was withdrawn by the petitioner.,Complete,96.9%,None
FDA-2011-P-0407-0006_FDA_CFSAN_Interim_Response_to_the_Center_for_Scien.pdf,2011-11-22,"May 25, 2011",CFSAN,other: petition under active evaluation,"[""21 CFR 10.30(e)(2)""]",Petition is currently under active evaluation by the Office of Food Additive Safety,Mostly Complete,64.8%,Responding FDA Center; Response to Petition
FDA-2011-P-0407-0007_FDA_CFSAN_Response_to_the_Center_for_Science_in_th.pdf,2012-03-19,Not Mentioned,CFSAN,other: evaluating information related to the safety of impurities in caramel,"[""21 CFR 73.85"", ""21 CFR 182.1235""]","FDA is currently assessing potential consumer exposure to 4-MEI from consumption of the ingredient, caramel, and evaluating information related to the safety of impurities in caramel.",Mostly Complete,64.8%,Responding FDA Center; Response to Petition
FDA-2011-P-0438-0004_Interim_Response_to_Public_Citizen_Health_Research.pdf,2011-11-12,Not Mentioned,CDRH,other: interim response,"[""21 CFR 10.30(e)(2)""]",Further review and analysis by agency officials is required before reaching a decision on the petition.,Mostly Complete,61.1%,Responding FDA Center; Response to Petition
FDA-2011-P-0438-0006_FDA_CDRH_Response_to_Public_Citizen_Health_Researc.pdf,2013-12-09,Not Mentioned,Not Mentioned,partially approved,"[""21 CFR 801.4"", ""21 U.S.C. § 321(h)"", ""Section 505 of the FD&C Act""]",The petition is partially granted and denied based on whether the products are classified as medical devices or consumer products under FDA's jurisdiction.,PDF Read Error,0.0%,PDF text extraction failed
FDA-2011-P-0440-0003_Interim_Response_to_Patton_Boggs_LLP_National_Yogu.pdf,2023-11-29,Not Mentioned,CFSAN,other: review ongoing due to other priorities and resource limitations,"[""21 CFR 10.30(e)(2)""]",Review not completed within 180 days due to agency priorities and limited resources,PDF Read Error,0.0%,PDF text extraction failed
FDA-2011-P-0440-0004_FDA_CFSAN_Response_to_Patton_Boggs__LLP__National_.pdf,2018-06-01,Not Mentioned,CFSAN,approved,"[""21 CFR 101.12(b)""]","The requested change in the RACC for yogurt has been granted via a final rule published on May 27, 2016.",Mostly Complete,67.2%,Responding FDA Center; Cited Statutes or Regulations
FDA-2011-P-0448-0003_FDA_CVM_Interim_Response_to_Earthjustice_November_.pdf,2011-11-21,Not Mentioned,CVM,other: tentative response pending final analysis,"[""21 CFR 10.30""]",FDA is currently considering the issues raised by the petition and requires additional time due to complexity and number of issues.,Incomplete,48.1%,Date of Response; Responding FDA Center; Response to Petition
FDA-2011-P-0450-0004_Interim_Response_to_MSMB_Capital_Management_LLC___.pdf,2011-12-06,Not Mentioned,CDER,other: interim response,"[""21 CFR 10.30(e)(2))""]",FDA has not yet resolved the issues raised due to the need to address other Agency priorities.,Mostly Complete,50.0%,Date of Response; Responding FDA Center; Response to Petition
FDA-2011-P-0455-0004_Interim_Response_to_Public_Citizen_s_Health_Resear.pdf,2011-12-31,Not Mentioned,CDER,other: interim response provided,"[""21 CFR 10.30(e)(2)""]",Significant issues requiring extensive review and analysis by Agency officials,Mostly Complete,50.0%,Date of Response; Responding FDA Center; Response to Petition
FDA-2011-P-0458-0003_Interim_Response_to_Personal_Care_Products_Council.pdf,2011-12-01,Not Mentioned,CFSAN,other: review in progress,"[""21 CFR IOJO(e)(2)""]","Competing priorities prevented a decision within the first 180 days, but the petition is under evaluation with an anticipated completion soon.",Mostly Complete,59.8%,Responding FDA Center; Response to Petition
FDA-2011-P-0460-0004_Response_Letter_from_FDA_CDER_to_Lachman_Consultan.pdf,2011-08-25,Not Mentioned,CDER,approved,"[""21 CFR 314.93"", ""21 CFR 314.161(a)"", ""21 CFR 314.162"", ""21 U.S.C. § 355(j)(7)""]","The FDA has determined that TALWIN COMPOUND (aspirin; pentazocine HCI) tablets, 325 mg; EQ 12.5 mg base, were not withdrawn from sale for reasons of safety or effectiveness based on the review of records and independent evaluation of relevant literature and data.",Complete,81.0%,Responding FDA Center
FDA-2011-P-0473-0004_Interim_Response_to_Varam_Inc__c_o__KVK_Tech_Inc__.pdf,2011-12-01,Not Mentioned,CDER,other: interim response,"[""21 CFR 10.30(e)(2)""]",The petition raises complex issues requiring extensive review and analysis by Agency officials.,Mostly Complete,50.0%,Date of Response; Responding FDA Center; Response to Petition
FDA-2011-P-0474-0005_Interim_Response_to_Kalypto_Medical__Inc___DuVal__.pdf,2011-12-05,Not Mentioned,Not Mentioned,other: interim response,"[""21 U.S.C. § 510(k)"", ""21 CFR § 10.35"", ""21 CFR 10.30(e)(2)""]",Further review and analysis by agency officials is required before reaching a decision.,Complete,79.2%,Response to Petition
FDA-2011-P-0479-0003_Interim_Response_Letter_from_FDA_CDRH_to_Dr__S__Al.pdf,2011-12-02,Not Mentioned,CDRH,other: interim response,"[""21 CFR 10.30(e)(2))""]",Further review and analysis by agency officials is required before reaching a decision on the petition.,Incomplete,46.3%,Date of Response; Responding FDA Center; Response to Petition
FDA-2011-P-0482-0003_FDA_CDER_Interim_Response_to_Novo_Nordisk_Inc.pdf,2011-12-09,Not Mentioned,CDER,other: interim response provided due to other priorities,"[""21 CFR 10.30(e)(2)""]",FDA has not yet resolved the issues raised in the petition due to addressing other Agency priorities.,Incomplete,48.8%,Date of Response; Responding FDA Center; Response to Petition
FDA-2011-P-0484-0004_Interim_Response_to_GotMercury__Turtle_Island_Rest.pdf,2011-08-13,Not Mentioned,CFSAN,other: tentative response due to ongoing review and analysis,"[""21 CFR 10.30(e)(2)(iii)""]",Ongoing review and analysis of the science is not yet completed,Mostly Complete,50.0%,Date of Response; Responding FDA Center; Response to Petition
FDA-2011-P-0486-0003_Interim_Response_to_Winston___Strawn_LLP____Letter.pdf,2012-01-04,Not Mentioned,CDER,other: interim response provided,"[""21 CFR 10.30(e)(2)"", ""21 U.S.C. § 355 G)(5)(D)(i)(IV)""]",Significant issues requiring extensive review and analysis by Agency officials,Mostly Complete,64.8%,Responding FDA Center; Response to Petition
FDA-2011-P-0488-0004_FDA_CDER_to_Sandoz__Inc____Response_Letter.pdf,2011-11-22,Not Mentioned,CDER,approved,"[""21 CFR 314.93"", ""21 CFR 314.161"", ""21 CFR 314.162"", ""21 U.S.C. § 355(j)(7)"", ""Section 505 of the FD&C Act""]","After reviewing records and evaluating relevant literature, FDA determined that TAXOTERE (docetaxel) Injection, 40 mg/mL was not withdrawn from sale for reasons of safety or effectiveness.",PDF Read Error,0.0%,PDF text extraction failed
FDA-2011-P-0512-0005_Interim_Response_to_Ropes___Gray_LLPand_Sidley_Aus.pdf,2011-12-29,Not Mentioned,CDER,other: interim response pending further analysis and public comment,"[""21 CFR 10.30(e)(2)""]",The issues raised in the petition are complex and require extensive review and analysis by Agency officials. FDA is continuing internal discussions and seeking public comments on related topics before providing a final response.,Mostly Complete,63.1%,Responding FDA Center; Response to Petition
FDA-2011-P-0512-0014_Kalb_et_al_IU_Final_Rule_Response_3_26_18.pdf,2018-03-26,Not Mentioned,Not Mentioned,partially approved,"[""21 CFR 201.128"", ""21 CFR 801.4""]","The petition is partially granted by indefinitely delaying the effective date of certain amendments, but denied regarding specific implementation of proposed definitions.",Complete,96.7%,None
FDA-2011-P-0515-0003_Interim_Response_to_Pharmacists_Planning_Service__.pdf,2011-12-29,Not Mentioned,CDER,other: interim response provided,"[""21 CFR 10.30(e)(2))""]",Significant issues requiring extensive review and analysis by Agency officials,Incomplete,48.8%,Date of Response; Responding FDA Center; Response to Petition
FDA-2011-P-0537-0004_Interim_Response_to_Earthjustice_et_al__Letter.pdf,2012-08-31,Not Mentioned,CFSAN,other: tentative response due to ongoing review,"[""21 CFR 10.30(e)(2)(iii)""]",Ongoing review and analysis of the science is not yet completed,Mostly Complete,50.0%,Date of Response; Responding FDA Center; Response to Petition
FDA-2011-P-0537-0005_Denial_Letter_from_CFSAN_to_EARTHJUSTICE.pdf,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Complete,100.0%,None
FDA-2011-P-0551-0005_B__Braun_Medical_Inc_Withdrawal_of_Citizen_Petitio.pdf,Not Mentioned,"March 29, 2012",Not Mentioned,withdrawn,"[""21 CFR 10.30""]",Petitioner requests withdrawal of the suitability petition in accordance with regulatory procedures.,Complete,97.7%,None
FDA-2011-P-0561-0005_Withdrawal_from_American_Bakers_Association.pdf,2016-05-16,Not Mentioned,CFSAN,withdrawn,"[""21 CFR 110."", ""21 CFR 110.93"", ""21 CFR 117."", ""21 CFR 117.7."", ""21 U.S.C. § 350g(m)"", ""Section 418 of the FD&C Act""]","The petition was withdrawn because FDA's final rule provided an exemption for facilities solely engaged in the storage of unexposed packaged food, aligning with ABA’s request.",Complete,79.3%,Responding FDA Center
FDA-2011-P-0565-0003_FDA_2011_P_0565_CP_Response_final_.pdf,2012-01-18,Not Mentioned,CDER,denied,"[""21 CFR 314.92(a)"", ""21 CFR 314.93"", ""21 CFR 314.94(a)(9)(ii)"", ""21 CFR 320.1(b)"", ""21 CFR 320.24"", ""21 U.S.C. § 355(j)""]","The FDA has determined that the proposed conditions are not necessary to ensure bioequivalence and safety of generic versions of Dovonex Cream, Taclonex Ointment, and Taclonex Scalp Topical Suspension.",Complete,81.5%,Responding FDA Center
FDA-2011-P-0573-0003_FDA_CTP_Interim_Response_to__J_Reynolds_Tobacco_Co.pdf,2012-01-02,Not Mentioned,CTP,"other: tentative response, final decision pending","[""5 U.S.C. § 553"", ""15 U.S.C. § 4402(a)(1)""]",FDA is currently considering the issues raised by the citizen petition and will issue a final response after completing its analyses of the issues.,PDF Read Error,0.0%,PDF text extraction failed
FDA-2011-P-0580-0005_FDA_CDER_Response_to_Charles_Watson_Partial_Petiti.pdf,2012-11-02,Not Mentioned,CDER,partially approved,"[""21 U.S.C. § 356b"", ""Section 505 of the FD&C Act"", ""42 U.S.C. § 262""]",The petition is partially approved because FDA considered the feasibility of a postmarketing clinical trial in the prisoner population but denied the specific request to explore conducting such a trial due to lack of critical facts and limited authority to require clinical trials.,Complete,99.6%,None
FDA-2011-P-0590-0003_Interim_Response_to_Kim_Witczak_and_William_Vaughn.pdf,2012-02-05,Not Mentioned,Not Mentioned,other: [petition not yet resolved],Not Mentioned,The petition raises complex issues requiring extensive review and analysis by Agency officials.,Complete,83.3%,Response to Petition
FDA-2011-P-0593-0003_FDA_2011_P_0593_CP_Response_final_.pdf,2012-01-18,Not Mentioned,CDER,denied,"[""21 CFR 314.92(a)"", ""21 CFR 314.93"", ""21 CFR 314.94(a)(9)(ii)"", ""21 CFR 320.1(b)"", ""21 CFR 320.24"", ""21 U.S.C. § 355(j)""]","The FDA denied the petition as it found that existing bioequivalence studies and clinical endpoint studies are sufficient to ensure equivalent safety and efficacy of generic products compared to the reference listed drugs (RLDs). The agency does not require additional testing such as maximal use conditions, dynamic HPA axis testing, or provocative testing for irritation, sensitization, phototoxicity, and photosensitization.",Complete,81.0%,Responding FDA Center
FDA-2011-P-0596-0003_FDA_CDER_Interim_Response_to_Dr__Richard_M__Flemin.pdf,2012-02-06,Not Mentioned,CDER,other: interim response,"[""21 CFR 10.30(e)(2))""]",Significant issues requiring extensive review and analysis by Agency officials,Incomplete,48.8%,Date of Response; Responding FDA Center; Response to Petition
FDA-2011-P-0596-0009_FDA_CDER_Response_to_Dr_Richard_M_Fleming__Petitio.pdf,2012-09-11,Not Mentioned,CDER,denied,"[""21 CFR 314.126"", ""21 CFR 314.70(b)(2)(v)(C))"", ""21 U.S.C. § 355(a))""]",The Petitioner did not provide substantial evidence from adequate and well-controlled clinical studies to support the proposed imaging method as more effective than the current standard two-dose rest/stress protocol.,PDF Read Error,0.0%,PDF text extraction failed
FDA-2011-P-0596-0015_Interim_Response_to_Dr_Richard_M__Fleming__Letter.pdf,2013-04-02,Not Mentioned,CDER,other: pending decision due to other priorities,Not Mentioned,FDA has not yet resolved the issues raised in the petition due to the need to address other Agency priorities.,PDF Read Error,0.0%,PDF text extraction failed
FDA-2011-P-0604-0005_Interim_Response_to_Public_Citizen_s_Health_Resear.pdf,2012-02-13,Not Mentioned,CDER,other: interim response provided,"[""21 CFR 10.30(e)(2))""]",Significant issues requiring extensive review and analysis by Agency officials,Incomplete,48.8%,Date of Response; Responding FDA Center; Response to Petition
FDA-2011-P-0604-0006_Final_Response_from_FDA_CDER_to_Public_Citizen_s_H.pdf,2024-02-08,Not Mentioned,CDER,partially approved,"[""21 CFR 201.57(c)(6)(i)"", ""21 CFR 201.57(c)(7)"", ""21 U.S.C. § 355(o)(4)""]","The petition is partially granted regarding safety labeling changes for synthetic glucocorticosteroids, specifically addressing warnings about latent infections and Kaposi's sarcoma with use of a dosage greater than replacement. The request to review the labeling of all glucocorticosteroids was declined due to lack of specific safety concerns.",Complete,79.5%,Responding FDA Center
